Subsymptom Name,Section Name
Abdoemn rumbling before menses,Abdomen
Abdoemn sides stitching pain after supper,Abdomen
Abdoemn stinging stitching pain,Abdomen
Abdoemn stitching pain extending to anus,Abdomen
Abdoemn stitching pain extending upwards,Abdomen
Abdomen acging extending upward,Abdomen
Abdomen aching after anger,Abdomen
Abdomen aching after brandy,Abdomen
Abdomen aching after breakfast,Abdomen
Abdomen aching after cherries,Abdomen
Abdomen aching after coffee,Abdomen
Abdomen aching after coition,Abdomen
"Abdomen aching after cold drinks,ice water,etc",Abdomen
Abdomen aching after dinner,Abdomen
Abdomen aching after drinking,Abdomen
Abdomen aching after drinking when overheated,Abdomen
Abdomen aching after eating,Abdomen
Abdomen aching after excitement,Abdomen
Abdomen aching after exertion,Abdomen
Abdomen aching after fruit,Abdomen
Abdomen aching after ice-cream,Abdomen
Abdomen aching after indignation,Abdomen
Abdomen aching after menses,Abdomen
Abdomen aching after milk,Abdomen
Abdomen aching after mortification,Abdomen
Abdomen aching after peaches,Abdomen
Abdomen aching after plums,Abdomen
Abdomen aching after potatoes,Abdomen
Abdomen aching after rising,Abdomen
Abdomen aching after soup,Abdomen
Abdomen aching after speaking,Abdomen
Abdomen aching after stool,Abdomen
Abdomen aching after sugar,Abdomen
Abdomen aching after supper,Abdomen
Abdomen aching after tobacco,Abdomen
Abdomen aching after uriantion,Abdomen
Abdomen aching after vexation,Abdomen
Abdomen aching after vomiting,Abdomen
Abdomen aching after warm food,Abdomen
Abdomen aching after wine,Abdomen
Abdomen aching alternating with affections of eyes,Abdomen
Abdomen aching alternating with headcahe,Abdomen
Abdomen aching alternating with pain in chest,Abdomen
Abdomen aching alternating with pain in joints,Abdomen
Abdomen aching alternating with pain in limbs,Abdomen
Abdomen aching as if clutching with nails,Abdomen
Abdomen aching as if diarrhoea would come on,Abdomen
Abdomen aching as if menses would appear,Abdomen
"Abdomen aching as if menses would appear,midnight",Abdomen
"Abdomen aching as if menses would appear,morning",Abdomen
Abdomen aching as if squeezed between two stones,Abdomen
Abdomen aching at beginning of menses,Abdomen
Abdomen aching axtending to testicles when coughing,Abdomen
Abdomen aching before breakfast,Abdomen
Abdomen aching before chill,Abdomen
Abdomen aching before going to sleep,Abdomen
Abdomen aching before menses,Abdomen
Abdomen aching before menses extending to chest,Abdomen
Abdomen aching before passing flatus,Abdomen
Abdomen aching before stool,Abdomen
Abdomen aching before urination,Abdomen
Abdomen aching comes gradually and goes gradually,Abdomen
Abdomen aching comes quickly and goes quickly,Abdomen
Abdomen aching drawing in abdomen,Abdomen
Abdomen aching driving to despair,Abdomen
Abdomen aching during breakfast,Abdomen
Abdomen aching during chill,Abdomen
Abdomen aching during coition,Abdomen
Abdomen aching during cough,Abdomen
Abdomen aching during diarrhoea (colic),Abdomen
Abdomen aching during diarrhoeic stool,Abdomen
Abdomen aching during digestion,Abdomen
Abdomen aching during dinner,Abdomen
"Abdomen aching during hard,steady menses",Abdomen
Abdomen aching during hunger,Abdomen
